iter	Passed	Remaining
387	3560	5615
388	3567	5604
389	3577	5594
390	3583	5581
391	3590	5568
392	3597	5555
393	3604	5543
394	3610	5530
395	3618	5518
396	3624	5505
397	3631	5493
398	3638	5480
399	3645	5467
400	3651	5454
401	3657	5441
402	3666	5431
403	3674	5421
404	3682	5410
405	3690	5399
406	3697	5386
407	3703	5373
408	3710	5361
409	3717	5349
410	3724	5337
411	3731	5325
412	3738	5314
413	3745	5301
414	3752	5289
415	3758	5276
416	3765	5264
417	3772	5252
418	3778	5239
419	3785	5227
420	3792	5215
421	3800	5206
422	3809	5196
423	3819	5188
424	3828	5179
425	3837	5170
426	3846	5161
427	3854	5151
428	3864	5143
429	3877	5139
430	3888	5133
431	3900	5128
432	3913	5124
433	3924	5118
434	3934	5110
435	3945	5103
436	3966	5110
437	3976	5102
438	3994	5104
439	4003	5095
440	4018	5093
441	4029	5086
442	4039	5078
443	4050	5072
444	4059	5063
445	4069	5054
446	4081	5048
447	4090	5039
448	4106	5039
449	4132	5051
450	4144	5045
451	4163	5047
452	4176	5042
453	4188	5037
454	4198	5028
455	4209	5021
456	4230	5026
457	4243	5021
458	4254	5014
459	4263	5004
460	4271	4993
461	4278	4981
462	4284	4969
463	4293	4959
464	4304	4952
465	4313	4943
466	4321	4932
467	4328	4920
468	4335	4908
469	4342	4897
470	4349	4884
471	4356	4873
472	4362	4860
473	4369	4848
474	4376	4836
475	4383	4825
476	4390	4813
477	4397	4801
478	4404	4790
479	4410	4778
480	4419	4768
481	4427	4757
482	4434	4746
483	4441	4735
484	4448	4724
485	4455	4712
486	4462	4701
487	4469	4689
488	4475	4677
489	4482	4665
490	4489	4654
491	4496	4642
492	4502	4630
493	4509	4619
494	4516	4607
495	4522	4595
496	4529	4584
497	4536	4573
498	4545	4563
499	4551	4551
500	4559	4541
501	4566	4529
502	4574	4520
503	4584	4512
504	4593	4502
505	4604	4495
506	4616	4488
507	4623	4477
508	4630	4466
509	4636	4455
510	4644	4444
511	4651	4433
512	4660	4424
513	4670	4415
514	4678	4406
515	4685	4394
516	4691	4383
517	4698	4372
518	4705	4360
519	4712	4350
520	4719	4338
521	4726	4328
522	4733	4316
523	4740	4305
524	4747	4294
525	4754	4284
526	4761	4273
527	4768	4262
528	4775	4252
529	4782	4241
530	4790	4230
531	4796	4219
532	4803	4208
533	4810	4197
534	4817	4187
535	4823	4175
536	4830	4165
537	4837	4154
538	4844	4143
539	4851	4133
540	4858	4121
541	4865	4111
542	4873	4101
543	4882	4092
544	4888	4081
545	4896	4071
546	4903	4060
547	4910	4050
548	4917	4039
549	4924	4029
550	4931	4018
551	4937	4007
552	4945	3997
553	4952	3987
554	4959	3976
555	4966	3965
556	4973	3955
557	4980	3944
558	4987	3934
559	4994	3923
560	5001	3913
561	5008	3903
562	5015	3892
563	5022	3882
564	5029	3872
565	5036	3862
566	5043	3851
567	5050	3841
568	5057	3830
569	5063	3820
570	5070	3809
571	5077	3799
572	5084	3788
573	5090	3778
574	5098	3768
575	5104	3757
576	5111	3747
577	5117	3736
578	5124	3726
579	5131	3715
580	5138	3705
581	5146	3696
582	5153	3686
583	5160	3675
584	5166	3665
585	5174	3655
586	5180	3644
587	5187	3634
588	5196	3625
589	5203	3615
590	5209	3605
591	5217	3595
592	5224	3585
593	5231	3575
594	5237	3565
595	5244	3555
596	5251	3545
597	5257	3534
598	5264	3524
599	5271	3514
600	5278	3504
601	5285	3494
602	5292	3484
603	5299	3474
604	5306	3464
605	5313	3454
606	5320	3444
607	5327	3435
608	5334	3424
609	5341	3415
610	5348	3405
611	5354	3394
612	5361	3385
613	5368	3374
614	5375	3365
615	5382	3355
616	5389	3345
617	5397	3336
618	5406	3327
619	5412	3317
620	5420	3307
621	5426	3297
622	5433	3287
623	5440	3278
624	5447	3268
625	5453	3258
626	5460	3248
627	5467	3238
628	5473	3228
629	5479	3217
630	5486	3208
631	5493	3198
632	5500	3189
633	5507	3179
634	5514	3169
635	5521	3159
636	5528	3150
637	5535	3140
638	5542	3131
639	5549	3121
640	5556	3111
641	5563	3102
642	5570	3092
643	5576	3082
644	5583	3072
645	5590	3063
646	5597	3053
647	5604	3044
648	5611	3034
649	5617	3025
650	5624	3015
651	5631	3005
652	5638	2996
653	5645	2986
654	5653	2978
655	5661	2968
656	5670	2960
657	5679	2952
658	5686	2942
659	5693	2933
660	5700	2923
661	5707	2913
662	5714	2904
663	5720	2894
664	5727	2885
665	5733	2875
666	5740	2866
667	5747	2856
668	5754	2847
669	5761	2837
670	5768	2828
671	5776	2819
672	5782	2809
673	5789	2800
674	5796	2790
675	5803	2781
676	5810	2772
677	5817	2762
678	5823	2753
679	5830	2743
680	5837	2734
681	5843	2724
682	5851	2715
683	5862	2708
684	5868	2698
685	5874	2688
686	5881	2679
687	5887	2670
688	5895	2661
689	5902	2651
690	5909	2642
691	5916	2633
692	5923	2623
693	5931	2615
694	5937	2605
695	5945	2596
696	5951	2587
697	5959	2578
698	5965	2568
699	5972	2559
700	5978	2550
701	5983	2539
702	5990	2530
703	5997	2521
704	6004	2512
705	6011	2503
706	6018	2494
707	6025	2484
708	6031	2475
709	6038	2466
710	6045	2457
711	6052	2448
712	6058	2438
713	6066	2429
714	6073	2420
715	6081	2412
716	6090	2404
717	6097	2394
718	6103	2385
719	6110	2376
720	6117	2367
721	6125	2358
722	6132	2349
723	6139	2340
724	6146	2331
725	6153	2322
726	6160	2313
727	6166	2303
728	6175	2295
729	6183	2287
730	6190	2278
731	6197	2268
732	6205	2260
733	6211	2251
734	6218	2241
735	6224	2232
736	6231	2223
737	6238	2214
738	6244	2205
739	6251	2196
740	6258	2187
741	6265	2178
742	6271	2169
743	6278	2160
744	6285	2151
745	6292	2142
746	6299	2133
747	6306	2124
748	6314	2115
749	6320	2106
750	6327	2098
751	6334	2089
752	6341	2080
753	6348	2071
754	6355	2062
755	6361	2053
756	6370	2044
757	6378	2036
758	6386	2027
759	6393	2019
760	6399	2009
761	6407	2001
762	6414	1992
763	6424	1984
764	6431	1975
765	6437	1966
766	6444	1957
767	6452	1949
768	6459	1940
769	6465	1931
770	6472	1922
771	6480	1913
772	6487	1905
773	6495	1896
774	6502	1887
775	6510	1879
776	6516	1870
777	6523	1861
778	6530	1852
779	6536	1843
780	6544	1835
781	6551	1826
782	6558	1817
783	6565	1808
784	6571	1799
785	6578	1791
786	6585	1782
787	6592	1773
788	6599	1764
789	6606	1756
790	6613	1747
791	6619	1738
792	6626	1729
793	6634	1721
794	6640	1712
795	6648	1703
796	6654	1694
797	6661	1686
798	6670	1678
799	6679	1669
800	6685	1661
801	6692	1652
802	6699	1643
803	6706	1634
804	6713	1626
805	6719	1617
806	6726	1608
807	6733	1600
808	6740	1591
809	6747	1582
810	6754	1573
811	6760	1565
812	6769	1557
813	6793	1552
814	6801	1543
815	6808	1535
816	6815	1526
817	6822	1517
818	6829	1509
819	6837	1500
820	6846	1492
821	6853	1483
822	6859	1475
823	6865	1466
824	6872	1457
825	6880	1449
826	6886	1440
827	6893	1431
828	6900	1423
829	6907	1414
830	6913	1406
831	6920	1397
832	6927	1388
833	6934	1380
834	6941	1371
835	6948	1363
836	6955	1354
837	6961	1345
838	6968	1337
839	6976	1328
840	6983	1320
841	6990	1311
842	6996	1303
843	7004	1294
844	7010	1286
845	7019	1277
846	7029	1269
847	7037	1261
848	7044	1252
849	7050	1244
850	7056	1235
851	7064	1227
852	7071	1218
853	7078	1210
854	7085	1201
855	7092	1193
856	7099	1184
857	7105	1175
858	7111	1167
859	7118	1158
860	7125	1150
861	7132	1141
862	7140	1133
863	7147	1125
864	7155	1116
865	7164	1108
866	7174	1100
867	7181	1092
868	7188	1083
869	7195	1075
870	7202	1066
871	7209	1058
872	7216	1049
873	7222	1041
874	7228	1032
875	7235	1024
876	7241	1015
877	7257	1008
878	7268	1000
879	7277	992
880	7283	983
881	7290	975
882	7300	967
883	7307	958
884	7314	950
885	7320	941
886	7327	933
887	7334	925
888	7341	916
889	7349	908
890	7358	900
891	7364	891
892	7372	883
893	7379	874
894	7386	866
895	7392	858
896	7399	849
897	7406	841
898	7415	833
899	7422	824
900	7428	816
901	7435	807
902	7442	799
903	7450	791
904	7457	782
905	7464	774
906	7470	766
907	7477	757
908	7484	749
909	7490	740
910	7496	732
911	7503	724
912	7510	715
913	7517	707
914	7523	698
915	7531	690
916	7538	682
917	7545	673
918	7553	665
919	7565	657
920	7573	649
921	7580	641
922	7588	633
923	7594	624
924	7602	616
925	7609	608
926	7616	599
927	7623	591
928	7630	583
929	7637	574
930	7644	566
931	7651	558
932	7657	549
933	7665	541
934	7674	533
935	7683	525
936	7690	517
937	7697	508
938	7704	500
939	7711	492
940	7718	483
941	7725	475
942	7731	467
943	7739	459
944	7746	450
945	7753	442
946	7760	434
947	7768	426
948	7776	417
949	7783	409
950	7790	401
951	7797	393
952	7804	384
953	7812	376
954	7818	368
955	7826	360
956	7834	352
957	7841	343
958	7847	335
959	7854	327
960	7861	319
961	7869	310
962	7876	302
963	7885	294
964	7891	286
965	7898	278
966	7905	269
967	7911	261
968	7918	253
969	7924	245
970	7931	236
971	7937	228
972	7944	220
973	7950	212
974	7957	204
975	7964	195
976	7982	187
977	7993	179
978	8000	171
979	8007	163
980	8015	155
981	8022	147
982	8029	138
983	8036	130
984	8043	122
985	8049	114
986	8056	106
987	8063	97
988	8070	89
989	8076	81
990	8082	73
991	8089	65
992	8096	57
993	8103	48
994	8109	40
995	8117	32
996	8123	24
997	8130	16
998	8139	8
999	8148	0
